message_length,word_count,digit_count,uppercase_count,special_char_count,exclamation_count,question_count,url_count,currency_count,spam
111,20,0,3,9,0,0,0,0,0
29,6,0,2,6,0,0,0,0,0
155,28,25,10,6,0,0,0,0,1
49,11,0,2,6,0,0,0,0,0
61,13,0,2,2,0,0,0,0,0
148,32,4,8,9,2,1,0,1,1
77,16,0,2,2,0,0,0,0,0
160,26,1,10,6,0,0,0,0,0
158,26,19,13,7,3,0,0,1,1
154,29,13,14,2,1,1,0,0,1
109,21,0,2,6,0,1,0,0,0
136,26,22,17,8,1,0,0,0,1
156,26,20,41,9,2,0,1,1,1
196,37,0,3,4,0,0,0,0,0
35,8,0,26,2,2,0,0,0,0
149,19,0,23,11,0,1,1,0,1
26,4,0,1,6,0,0,0,0,0
81,19,1,3,5,0,0,0,0,0
58,13,0,4,3,0,0,0,0,0
156,24,23,33,8,0,0,0,0,1
41,8,0,1,1,0,1,0,0,0
49,11,1,1,2,0,0,0,0,0
53,11,0,3,6,0,0,0,0,0
88,20,1,3,3,0,1,0,0,0
57,11,0,3,2,0,1,0,0,0
144,28,0,8,7,0,0,0,0,0
30,5,0,1,1,0,0,0,0,0
134,32,0,6,6,0,5,0,0,0
75,15,0,2,7,0,0,0,0,0
64,12,0,5,4,1,1,0,0,0
130,26,0,1,4,0,0,0,0,0
188,41,2,5,7,2,1,0,0,0
29,6,0,1,1,0,0,0,0,0
84,17,0,2,1,0,1,0,0,0
159,29,1,14,3,0,0,0,1,1
123,28,2,4,6,0,0,0,0,0
47,9,0,2,3,0,0,0,0,0
28,8,0,2,0,0,0,0,0,0
27,4,0,2,6,0,0,0,0,0
155,30,0,4,7,2,1,0,0,0
82,17,0,4,3,0,0,0,0,0
142,34,0,10,15,0,1,0,0,0
172,33,22,7,5,0,0,0,0,1
19,4,0,15,1,0,1,0,0,0
72,13,0,3,10,1,0,0,0,0
32,3,0,1,4,0,0,0,0,0
45,8,0,1,2,0,0,0,0,0
31,5,0,1,2,0,1,0,0,0
67,14,0,2,2,0,0,0,0,0
148,30,0,7,7,0,0,0,0,0
58,12,0,2,2,0,0,0,0,0
124,23,0,1,11,0,0,0,0,0
80,16,0,1,1,0,0,0,0,0
289,55,0,7,14,0,0,0,0,0
120,22,0,24,5,0,2,0,0,1
76,13,0,7,6,0,1,0,0,0
160,27,24,12,12,4,0,0,0,1
34,6,0,2,3,0,0,0,0,0
22,4,0,1,0,0,0,0,0,0
40,7,0,1,3,0,0,0,0,0
108,23,1,3,5,0,0,0,1,0
48,9,0,2,2,0,0,0,0,0
25,6,0,3,0,0,0,0,0,0
56,12,0,2,2,0,1,0,0,0
110,24,0,2,2,0,0,0,0,0
153,28,15,7,4,0,0,0,1,1
122,23,0,3,8,0,1,0,0,0
161,22,21,26,12,0,0,0,2,1
78,15,0,5,5,1,1,0,0,1
34,8,0,1,1,0,0,0,0,0
46,8,0,3,9,0,0,0,0,0
29,5,0,1,1,0,0,0,0,0
45,10,0,35,1,0,1,0,0,0
42,6,0,1,6,0,2,0,0,0
20,5,0,1,3,0,0,0,0,0
43,9,0,2,2,0,0,0,0,0
73,14,0,1,2,0,0,0,0,0
50,11,0,1,3,0,0,0,0,0
42,7,0,1,5,0,0,0,0,0
76,16,0,4,4,0,0,0,0,0
22,4,0,2,2,0,0,0,0,0
31,8,0,2,2,0,1,0,0,0
32,10,0,1,0,0,0,0,0,0
36,9,0,1,0,0,0,0,0,0
14,3,0,1,1,0,0,0,0,0
55,11,0,2,5,0,0,0,0,0
121,26,1,4,4,0,1,0,0,0
144,31,0,5,4,0,0,0,0,0
42,9,0,1,1,0,0,0,0,0
41,7,0,1,5,0,0,0,0,0
62,10,0,2,7,2,0,0,0,0
194,39,2,4,5,0,1,0,0,0
141,26,1,19,2,2,0,0,0,0
139,23,22,6,4,1,0,0,2,1
107,20,3,3,3,0,1,0,0,0
158,29,18,18,8,0,0,0,0,1
33,5,0,1,3,0,1,0,0,0
51,12,0,1,1,0,0,0,0,0
178,38,0,5,7,1,1,0,0,0
31,7,0,1,0,0,0,0,0,0
57,11,0,2,3,0,0,0,0,0
81,21,0,4,2,1,1,0,0,0
76,16,1,2,3,0,0,0,0,0
160,26,1,10,6,0,0,0,0,0
183,36,0,4,8,1,0,0,0,0
44,10,0,1,0,0,0,0,0,0
95,17,0,2,2,0,0,0,0,0
43,10,0,3,2,0,0,0,0,0
82,14,0,1,1,0,0,0,0,0
115,24,0,5,6,1,0,0,0,0
30,6,0,2,3,0,0,0,0,0
40,8,0,1,1,0,1,0,0,0
31,5,0,1,2,0,0,0,0,0
96,24,1,3,4,0,0,0,0,0
159,27,22,22,7,1,0,0,1,1
143,24,0,4,15,0,1,0,0,0
156,32,1,11,13,2,0,0,0,0
152,27,22,3,8,0,0,0,1,1
71,12,0,2,4,2,0,0,0,0
86,15,0,2,6,0,0,0,0,0
144,20,34,16,3,1,0,0,0,1
157,26,26,26,7,2,0,0,1,1
53,8,0,0,3,0,0,0,0,0
156,27,22,3,2,0,0,0,1,1
51,13,2,2,1,0,0,0,0,0
40,7,0,2,3,0,1,0,0,0
20,4,0,1,2,0,0,0,0,0
244,46,0,4,9,0,0,0,0,0
22,5,0,1,1,0,0,0,0,0
107,27,0,75,4,2,1,0,0,0
28,5,0,1,5,0,1,0,0,0
9,2,0,1,2,0,0,0,0,0
39,5,0,2,3,0,0,0,0,0
25,4,0,1,1,0,0,0,0,0
126,25,8,15,6,1,1,0,1,1
162,28,13,16,8,1,2,0,0,1
38,6,0,2,4,0,0,0,0,0
34,8,0,2,1,0,0,0,0,0
46,9,0,2,1,0,0,0,0,0
155,32,5,12,4,0,0,0,0,1
86,20,0,5,12,0,0,0,0,0
33,8,0,1,2,0,0,0,0,0
27,5,0,2,2,0,0,0,0,0
156,26,2,5,9,0,0,0,0,0
42,10,0,2,2,0,1,0,0,0
25,7,0,1,0,0,0,0,0,0
48,10,0,1,1,0,1,0,0,0
159,29,14,9,7,0,1,0,0,1
84,15,0,1,3,0,0,0,0,0
33,6,0,1,3,0,1,0,0,0
30,7,0,1,2,0,0,0,0,0
45,9,0,1,3,0,0,0,0,0
59,15,2,1,1,0,0,0,0,0
25,4,0,2,6,0,0,0,0,0
160,26,1,10,6,0,0,0,0,0
384,80,0,5,16,0,0,0,0,0
28,5,0,1,1,0,1,0,0,0
27,5,0,1,4,0,0,0,0,0
157,33,0,7,8,0,6,0,0,0
124,19,11,5,2,0,0,0,0,1
146,27,20,3,4,0,0,0,1,1
115,24,0,4,1,0,0,0,0,0
64,13,0,1,5,0,0,0,0,0
85,19,0,3,5,0,0,0,0,0
152,24,13,31,13,0,1,1,0,1
155,30,1,20,6,0,0,0,0,1
51,10,0,1,1,0,0,0,0,0
157,27,18,23,6,1,0,0,1,1
74,13,0,1,3,0,1,0,0,0
66,13,0,3,2,0,0,0,0,0
59,10,0,1,5,0,0,0,0,0
50,10,0,10,2,0,0,0,0,0
93,20,1,4,12,0,0,0,0,0
32,6,0,1,1,0,1,0,0,0
104,21,0,3,6,0,0,0,0,0
61,11,0,2,7,0,0,0,0,0
65,14,0,1,1,0,0,0,0,0
26,6,0,1,1,0,1,0,0,0
146,30,0,1,14,0,0,0,1,0
66,16,0,2,1,0,0,0,0,0
126,25,0,17,5,1,0,0,0,0
159,31,1,4,3,0,0,0,0,0
23,6,0,2,2,0,0,0,0,0
65,13,0,1,2,0,0,0,0,0
24,5,0,1,2,0,1,0,0,0
26,4,0,1,1,0,0,0,0,0
152,32,0,6,7,1,5,0,0,0
34,7,0,1,1,0,0,0,0,0
149,24,22,15,4,1,0,0,2,1
55,13,0,3,1,0,0,0,0,0
88,19,0,3,5,0,0,0,0,0
72,10,2,3,5,0,1,1,0,1
185,38,0,5,8,0,0,0,0,0
37,6,0,1,4,0,0,0,0,0
111,22,0,2,2,0,0,0,0,0
92,19,1,3,3,0,1,0,0,0
28,7,0,1,0,0,0,0,0,0
28,6,0,1,0,0,0,0,0,0
63,14,1,1,2,0,2,0,0,0
131,30,0,4,5,1,1,0,0,0
40,8,0,4,8,0,1,0,0,0
28,5,0,1,5,0,0,0,0,0
84,18,0,2,0,0,0,0,0,0
174,26,0,28,16,0,0,0,0,0
24,3,0,1,1,0,0,0,0,0
25,7,2,1,1,0,0,0,0,0
64,13,0,1,4,0,0,0,0,0
156,32,1,11,13,2,0,0,0,0
28,5,0,1,1,0,0,0,0,0
